,name,name_rus,texts_number,texts_percent
391,ZACH DORFMAN,nan,1,0.0003803727653100038
392,Zach Dorfman,nan,1,0.0003803727653100038
393,Zack Wasserman,nan,1,0.0003803727653100038
394,Zenta Ērgle,Зента Эргле,3,0.0011411182959300114
395,Zigmunds Skujiņš,Зигмунд Скуинь,4,0.0015214910612400153
396,Zofia Kossak,Зофья Коссак,1,0.0003803727653100038
397,berlin.de,berlin.de,1,0.0003803727653100038
398,nrw.de,nan,1,0.0003803727653100038
399,ufc-capital.com,ufc-capital.com,1,0.0003803727653100038
400,www.ifspb.com,www.ifspb.com,1,0.0003803727653100038
401,Є. Лавренюк,А. Волков,1,0.0003803727653100038
402,Євгенія Кононенко,Евгения Кононенко,1,0.0003803727653100038
403,Іван Дзюба,Иван Дзюба,1,0.0003803727653100038
404,Іван Карпенко-Карий,Иван Карпенко-Карый,2,0.0007607455306200076
405,Іван Керницький,Иван Керницкий,1,0.0003803727653100038
406,Іван Котляревський,Иван Котляревский,1,0.0003803727653100038
407,Іван Котлярівський,Иван Котляревский,1,0.0003803727653100038
408,Іван Мележ,Иван Мележ,1,0.0003803727653100038
409,Іван Нечуй-Левицький,Иван Нечуй-Левицкий,8,0.0030429821224800305
410,Іван Франко,Иван Франко,7,0.0026626093571700264
411,Іван Чыгрынаў,Иван Чигринов,5,0.001901863826550019
412,Іван Шамякін,Иван Шамякин,5,0.001901863826550019
413,Ігор Анцишкін,Игорь Анцышкин,2,0.0007607455306200076
414,Ігор Бондар-Терещенко,Игорь Бондарь-Терещенко,1,0.0003803727653100038
415,Ігор Лосєв,Игорь Лосев,13,0.00494484594903005
416,Ірина Солодченко,Ирина Солодченко,1,0.0003803727653100038
417,А. А. Фадеев,А. А. Фадеев,1,0.0003803727653100038
418,А. Бутэвіч,А. Бутевич,1,0.0003803727653100038
419,А. В. Кузнецов,А. В. Кузнецов,1,0.0003803727653100038
420,А. В. Литвиненко,А. В. Литвиненко,1,0.0003803727653100038
421,А. И. Куприн,А. И. Куприн,15,0.005705591479650057
422,А. И. Приставкин,А. И. Приставкин,1,0.0003803727653100038
423,А. И. Солженицын,А. И. Солженицын,5,0.001901863826550019
424,А. Н. Варламов,А. Н. Варламов,1,0.0003803727653100038
425,А. Н. Островский,А. Н. Островский,2,0.0007607455306200076
426,А. Н. Рыбаков,А. Н. Рыбаков,2,0.0007607455306200076
427,А. Н. Стругацкий,А. Н. Стругацкий,10,0.003803727653100038
428,А. Н. Толстой,А. Н. Толстой,3,0.0011411182959300114
429,А. П. Чехов,А. П. Чехов,106,0.040319513122860404
430,А. Р. Беляев,А. Р. Беляев,4,0.0015214910612400153
431,А. С. Пушкин,А. С. Пушкин,19,0.0072270825408900724
432,А. Т. Аверченко,А. Т. Аверченко,9,0.003423354887790034
433,"АКБ ""Русславбанк""","АКБ ""Русславбанк""",1,0.0003803727653100038
434,Александр Грин,Александр Грин,1,0.0003803727653100038
435,Александр Минеев,Александр Минеев,1,0.0003803727653100038
436,Алексей Балабанов,Алексей Балабанов,1,0.0003803727653100038
437,Алена Василевич,Алена Василевич,1,0.0003803727653100038
438,Алесь Адамовіч,Алесь Адамович,3,0.0011411182959300114
439,Алесь Пашкевіч,Алесь Пашкевич,1,0.0003803727653100038
440,Аляксей Кулакоўскі,Алексей Кулаковский,1,0.0003803727653100038
441,Анатолій Свидницький,Анатолий Свидницкий,1,0.0003803727653100038
442,Анатолій Стась,Анатолий Стась,1,0.0003803727653100038
443,Ангелина Давыдова,Ангелина Давыдова,1,0.0003803727653100038
444,Андрей Дмитрук,Андрей Дмитрук,1,0.0003803727653100038
445,Андрей Курейчик,Андрей Курейчик,2,0.0007607455306200076
446,Андрей Курков,Андрей Курков,1,0.0003803727653100038
447,Андрей Платонов,Андрей Платонов,2,0.0007607455306200076
448,Андрей Чемышев,Андрей Чемышев,1,0.0003803727653100038
449,Андрій Калин,Андрей Калин,36,0.013693419551160137
450,Андрій Окара,Андрей Окара,1,0.0003803727653100038
451,Анна Политковская,Анна Политковская,1,0.0003803727653100038
452,Антон Санченко,Антон Санченко,1,0.0003803727653100038
453,Аркадий Гайдар,Аркадий Гайдар,1,0.0003803727653100038
454,Артем Куреев,Артем Куреев,1,0.0003803727653100038
455,Архип Тесленко,Архип Тесленко,22,0.008368200836820083
456,Б. В. Заходер,Б. В. Заходер,2,0.0007607455306200076
457,Б. В. Зубков,Б. В. Зубков,1,0.0003803727653100038
458,Б. Изаков [перевод с английского повести Э. Хемингуэя,Б. Изаков [перевод с английского повести Э. Хемингуэя,1,0.0003803727653100038
459,Б. Н. Полевой,Б. Н. Полевой,2,0.0007607455306200076
460,Б. Н. Стругацкий,Б. Н. Стругацкий,10,0.003803727653100038
461,БЕЛАПАН,БЕЛАПАН,30,0.011411182959300114
462,Балдан Санжин,Балдан Санжин,1,0.0003803727653100038
463,Барадий Мунгонов,Барадий Мунгонов,1,0.0003803727653100038
464,Бидия Дандарон,Бидия Дандарон,1,0.0003803727653100038
465,Борис Акунин,Борис Акунин,2,0.0007607455306200076
466,Борис Антоненко-Давидович,Борис Антоненко-Давидович,1,0.0003803727653100038
467,Борис Грінченко,Борис Гринченко,3,0.0011411182959300114
468,Борис Оречкин,Борис Оречкин,1,0.0003803727653100038
469,Борис Пастернак,Борис Пастернак,1,0.0003803727653100038
470,В. А. Обручев,В. А. Обручев,1,0.0003803727653100038
471,В. А. Осеева,В. А. Осеева,18,0.006846709775580068
472,В. А. Ревич,В. А. Ревич,1,0.0003803727653100038
473,В. В. Ерофеев,В. В. Ерофеев,1,0.0003803727653100038
474,В. Г. Короленко,В. Г. Короленко,5,0.001901863826550019
475,В. Г. Сорокин,В. Г. Сорокин,4,0.0015214910612400153
476,В. Е. Бахнов,В. Е. Бахнов,1,0.0003803727653100038
477,В. И. Вернадский,В. И. Вернадский,1,0.0003803727653100038
478,В. И. Савченко,В. И. Савченко,1,0.0003803727653100038
479,В. М. Гаршин,В. М. Гаршин,9,0.003423354887790034
480,В. П. Аксенов,В. П. Аксенов,1,0.0003803727653100038
481,В. С. Гроссман,В. С. Гроссман,8,0.0030429821224800305
482,В. С. Пикуль,В. С. Пикуль,1,0.0003803727653100038
483,В. Т. Бабенко,В. Т. Бабенко,1,0.0003803727653100038
484,В. Я. Брюсов,В. Я. Брюсов,3,0.0011411182959300114
485,Валянцін Зуб,Валентин Зуб,1,0.0003803727653100038
486,Варлам Шаламов,Варлам Шаламов,2,0.0007607455306200076
487,Василий Высоков,Василий Высоков,1,0.0003803727653100038
