,name,texts_number,texts_percent
289,В. Вильнис,2,0.0007698229407236335
290,В. Воронин,2,0.0007698229407236335
291,В. Гобарев,2,0.0007698229407236335
292,В. Голышев,1,0.00038491147036181676
293,В. Доронин,2,0.0007698229407236335
294,В. Дорошенко,1,0.00038491147036181676
295,В. Дуткевич,3,0.0011547344110854503
296,В. Жиженко,2,0.0007698229407236335
297,В. Карасева,4,0.001539645881447267
298,В. Каррик,1,0.00038491147036181676
299,В. Л. Британишский,1,0.00038491147036181676
300,В. Мамонова,1,0.00038491147036181676
301,В. Машков,1,0.00038491147036181676
302,В. Микушевич,1,0.00038491147036181676
303,В. Минушин,1,0.00038491147036181676
304,В. Мрочек,1,0.00038491147036181676
305,В. Муравьев,1,0.00038491147036181676
306,В. Н. Богачев,3,0.0011547344110854503
307,В. Н. С.,1,0.00038491147036181676
308,В. П. Мамонова,1,0.00038491147036181676
309,В. Розанов,1,0.00038491147036181676
310,В. Ругайс,1,0.00038491147036181676
311,В. Рудов,1,0.00038491147036181676
312,В. Севрук,1,0.00038491147036181676
313,В. Скоморовский,1,0.00038491147036181676
314,В. Соловьев,1,0.00038491147036181676
315,В. Сологуб,1,0.00038491147036181676
316,В. Станевич,3,0.0011547344110854503
317,В. Сухорукова,1,0.00038491147036181676
318,В. Тарас,2,0.0007698229407236335
319,В. Тарсис,5,0.001924557351809084
320,В. Топер,2,0.0007698229407236335
321,В. Фляк,2,0.0007698229407236335
322,В. Хинкис,3,0.0011547344110854503
323,В. Чепайтис,21,0.008083140877598153
324,В. Шаповал,2,0.0007698229407236335
325,В. Шкляр,1,0.00038491147036181676
326,В. Штенгель,1,0.00038491147036181676
327,В. Штернберг,1,0.00038491147036181676
328,В. Щепотев,1,0.00038491147036181676
329,В. Эрлихман,1,0.00038491147036181676
330,Вадим Филиппов,1,0.00038491147036181676
331,Валентина Давиденкова,1,0.00038491147036181676
332,Валентина Щедрина,8,0.003079291762894534
333,Валерий Николаев,1,0.00038491147036181676
334,Валерий Стрелко,2,0.0007698229407236335
335,Валерій Шевчук,29,0.011162432640492687
336,Валянцін Рабкевіч,1,0.00038491147036181676
337,Ванкарем Никифорович,1,0.00038491147036181676
338,Василь Быков,12,0.004618937644341801
339,Василь Сёмуха,1,0.00038491147036181676
340,Венцел Райчев,10,0.003849114703618168
341,Вера Вярба,1,0.00038491147036181676
342,Вера Набокова,2,0.0007698229407236335
