,name,texts_number,texts_percent
652,Наталя Білоцерківець,1,0.00038491147036181676
653,Наталя Майстренко,1,0.00038491147036181676
654,Наталя Рогаля,1,0.00038491147036181676
655,Наталія Дев'ятко,1,0.00038491147036181676
656,Нелли Закусина,1,0.00038491147036181676
657,Николай Данилов,1,0.00038491147036181676
658,Николай Любимов,1,0.00038491147036181676
659,Нина Шульгина,1,0.00038491147036181676
660,Ноель Даат,1,0.00038491147036181676
661,Нора Галь,3,0.0011547344110854503
662,О. А. Варшавер,1,0.00038491147036181676
663,О. Васильев,1,0.00038491147036181676
664,О. Гончар,1,0.00038491147036181676
665,О. Кацай,1,0.00038491147036181676
666,О. Коваленко,1,0.00038491147036181676
667,О. Н. Мяэотс,1,0.00038491147036181676
668,О. Равченко,1,0.00038491147036181676
669,О. Сорока,1,0.00038491147036181676
670,Оксана Іваненко,1,0.00038491147036181676
671,Олег Романчук,1,0.00038491147036181676
672,Ольга Ерёмина,9,0.003464203233256351
673,Ольга Самма,1,0.00038491147036181676
674,Осип Зінкевич і Микола Француженко,1,0.00038491147036181676
675,Остап Вишня,2,0.0007698229407236335
676,П. Антокольский,1,0.00038491147036181676
677,П. Зенкевич,3,0.0011547344110854503
678,П. Карабан,11,0.004234026173979984
679,П. Макинцян,1,0.00038491147036181676
680,П. Мелкова,1,0.00038491147036181676
681,П. Морозов,1,0.00038491147036181676
682,П. Охрименко,1,0.00038491147036181676
683,П. Ящук,3,0.0011547344110854503
684,Пантелеймон Кулiш,1,0.00038491147036181676
685,Пере Роман,1,0.00038491147036181676
686,Петр Богатырев,4,0.001539645881447267
687,Р. Гальперина,2,0.0007698229407236335
688,Р. Е. Облонская,1,0.00038491147036181676
689,Р. Заславский,3,0.0011547344110854503
690,Р. Линцер,1,0.00038491147036181676
691,Р. Лиша,1,0.00038491147036181676
692,Р. Райт-Ковалёва,1,0.00038491147036181676
693,Р. Райт-Ковалева,3,0.0011547344110854503
694,Р. Рубина,1,0.00038491147036181676
695,Р. Рыбакова,1,0.00038491147036181676
696,Р. Хлодовский,2,0.0007698229407236335
697,Р. Эйвадис,1,0.00038491147036181676
698,Райчо Русев,1,0.00038491147036181676
699,Раиса Золотова,2,0.0007698229407236335
700,Ренат Мухамеджанов,1,0.00038491147036181676
701,Росица Бърдарска,1,0.00038491147036181676
702,Рустем Нурыев,1,0.00038491147036181676
703,Рычард Саматыя,2,0.0007698229407236335
704,"С 25 марта ""Белавиа"" переходит на летнее расписание рейсов",1,0.00038491147036181676
705,С. Алексеев,1,0.00038491147036181676
706,С. Белов,1,0.00038491147036181676
707,С. Борисов,1,0.00038491147036181676
708,С. В. Штерн,1,0.00038491147036181676
709,С. Васильченко,1,0.00038491147036181676
710,С. Григорьева,1,0.00038491147036181676
711,С. Зенкин,1,0.00038491147036181676
712,С. Ильин,15,0.005773672055427252
713,С. К. Апт,2,0.0007698229407236335
714,С. Крыжанивский,1,0.00038491147036181676
715,С. Мануков,1,0.00038491147036181676
716,С. Марков,1,0.00038491147036181676
717,С. Родов,1,0.00038491147036181676
718,С. С. Павловський,1,0.00038491147036181676
719,С. Свободина,2,0.0007698229407236335
720,С. Свяцкий,1,0.00038491147036181676
721,С. Скляренко,1,0.00038491147036181676
722,С. Скорвид,1,0.00038491147036181676
723,С. Слободянюк,1,0.00038491147036181676
724,С. Таска,1,0.00038491147036181676
725,С. Тихвинский,1,0.00038491147036181676
726,С. Фридлянд,1,0.00038491147036181676
727,С. Шегель,12,0.004618937644341801
728,С. Я. Бобров,1,0.00038491147036181676
729,Сергей Цебаковский,10,0.003849114703618168
730,Сергей Шервинский,1,0.00038491147036181676
731,Симеон Владимиров,1,0.00038491147036181676
732,Скина Ваф,1,0.00038491147036181676
733,София Бранц,1,0.00038491147036181676
734,Стоян Бакърджиев,1,0.00038491147036181676
735,Сяржук Мядзведзеў,1,0.00038491147036181676
736,Т. А. Величко,2,0.0007698229407236335
737,Т. В. Доброницкая,1,0.00038491147036181676
738,Т. Горбачева,1,0.00038491147036181676
739,Т. Д. Венедиктова,1,0.00038491147036181676
740,Т. Зарицкая,3,0.0011547344110854503
741,Т. Иллеш,2,0.0007698229407236335
742,Т. Корнеева-Мацейнене,1,0.00038491147036181676
743,Т. Кудрявцева,1,0.00038491147036181676
744,Т. М. Линденер,1,0.00038491147036181676
745,Т. Озерская,1,0.00038491147036181676
746,Т. Полякова,1,0.00038491147036181676
747,Т. Шабаева,1,0.00038491147036181676
748,Т. Шамякина,6,0.0023094688221709007
749,Т. Шинкарь,1,0.00038491147036181676
750,Татьяна Стамова,1,0.00038491147036181676
751,Татьяна Теппе,1,0.00038491147036181676
752,Таццяна Команава,1,0.00038491147036181676
753,Тертту Викстрем,1,0.00038491147036181676
754,У. Арлоў,1,0.00038491147036181676
755,Ф. В. Домбровский,1,0.00038491147036181676
756,Ф. Двин,2,0.0007698229407236335
757,Ф. Дектор,4,0.001539645881447267
758,Ф. Зайбель,1,0.00038491147036181676
759,Ф. Кравченко,2,0.0007698229407236335
760,Ф. Мерас,3,0.0011547344110854503
761,Христо Радевски,2,0.0007698229407236335
762,Ч. Гомбоин,1,0.00038491147036181676
763,Э. Венгерова,1,0.00038491147036181676
764,Э. Казакевич,1,0.00038491147036181676
765,Э. Линецкая,1,0.00038491147036181676
766,Э. Люберацкая,1,0.00038491147036181676
767,Эд. Корпачев,4,0.001539645881447267
768,Эйно Карху,1,0.00038491147036181676
769,Ю. Афонькин,1,0.00038491147036181676
770,Ю. Барабаш,1,0.00038491147036181676
771,Ю. Вейсберг,1,0.00038491147036181676
772,Ю. Винничук,1,0.00038491147036181676
773,Ю. И. Коринец,1,0.00038491147036181676
774,Ю. Лоцманенко,1,0.00038491147036181676
775,Ю. Мокрієв,2,0.0007698229407236335
776,Ю. С. Каппе,34,0.01308698999230177
777,Ю. Светланов,1,0.00038491147036181676
778,Ю. Чайников,1,0.00038491147036181676
779,Ю. Я. Яхнина,3,0.0011547344110854503
780,Ю. Ярмыш,1,0.00038491147036181676
781,Юлия Андреева,1,0.00038491147036181676
782,Юлия Пенева-Павлова,1,0.00038491147036181676
783,Юрий Абызов,1,0.00038491147036181676
784,Юрий Абызов,5,0.001924557351809084
785,Я. Лесюк,1,0.00038491147036181676
786,Я. Скрыган,3,0.0011547344110854503
787,Я. Шуман,2,0.0007698229407236335
788,Якуб Лапатка,3,0.0011547344110854503
789,Ярина Голуб,1,0.00038491147036181676
790,Աթայան Ա. / Šahumyan St.,1,0.00038491147036181676
791,Բաբիյան Ս. / Babiyan S.,1,0.00038491147036181676
792,Բեյլերյան Հրաչյա / Beyleryan Hrač‘ya,2,0.0007698229407236335
793,Գեւորգյան Մ. / Geworgyan M.,1,0.00038491147036181676
794,Եսայան Դորա / Esayan Dora,3,0.0011547344110854503
795,Եսայան Վ. / Esayan V.,1,0.00038491147036181676
796,Զորյան Ստեփան / Zoryan Step‘an,1,0.00038491147036181676
797,Հովհաննիսյան Արմեն / Hovhannisyan Armen,2,0.0007698229407236335
798,Հովսեփյան Ռ. / Hovsep‘yan Ŕ.,1,0.00038491147036181676
799,Մազմանյան Ա. / Mazmanyan A.,1,0.00038491147036181676
800,Մկրտչյան Կ. / Mkrtč‘yan K.,1,0.00038491147036181676
801,Նար-Դոս / Nar-Dos,2,0.0007698229407236335
802,Շահումյան Ստ.,1,0.00038491147036181676
803,Վարդապետյան Ա. / Vardapetyan A.,3,0.0011547344110854503
804,Տեր-Հովնանյան Ա. / Ter-Hovnanyan A.,1,0.00038491147036181676
805,Տեր-Մինասյան Երվանդ / Ter-Minasyan Ervand,1,0.00038491147036181676
806,Ֆելեքյան Հ. / Felek‘yan H.,1,0.00038491147036181676
807,奉真 / Feng Zhen,1,0.00038491147036181676
808,巴金 / Ba Jin,1,0.00038491147036181676
809,汝龙 / Ru Long,1,0.00038491147036181676
810,石国雄 / Shi Guoxiong,1,0.00038491147036181676
